NCA NUMBER,NCA TYPE,APPROVED DATE,RELEASED DATE,DEPARTMENT,AGENCY,OPERATING UNIT,AMOUNT,PURPOSE,REMARKS
NCA-ROII-20-0001164,TLRG,01/23/20 08:20:53,01/23/2020 15:01:49,Department of Education (DepEd),Office of the Secretary,Itawes National Agriculture and Technological School,"597,789.00","To cover payment of the Terminal Leave Benefits of Mr. Loreto B. Oli, optional retiree.",
NCA-BMB-D-20-0001163,TLRG,01/23/20 07:22:34,01/24/2020 17:39:05,Department of National Defense (DND),Philippine Army ( Land Forces ),,"88,776,258.00",To cover the funding requirements for the Terminal Leave Benefits of seventy-nine (79) retirees (military personnel) as indicated in the attached Schedules 1 to 8.,
NCA-BMB-D-20-0001162,TLRG,01/23/20 07:20:26,01/24/2020 17:39:04,Department of National Defense (DND),Philippine Army ( Land Forces ),,"81,796,069.00",To cover the funding requirements for the Terminal Leave Benefits of sixty-five (65) retirees (military personnel) as indicated in the attached Schedules 1 and 2.,
NCA-BMB-D-20-0001161,APB,01/23/20 07:17:44,01/24/2020 17:39:03,Department of the Interior and Local Government (DILG),Office of the Secretary,Central Office,"747,433.00","To cover the funding requirements for the payment of monetization of leave credits, as indicated in Schedules A and B.",
NCA-BMB-D-20-0001160,TLRG,01/22/20 17:03:04,01/24/2020 17:39:02,Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUS)",General Headquarters - Proper,"535,314.00","To cover the funding requirements for the Terminal Leave Benefit claims of two (2) civilian employees per attached Schedules “A” and ""B"".",
NCA-BMB-E-20-0001159,TLRG,01/22/20 15:58:24,01/27/2020 17:19:16,Department of Environment and Natural Resources (DENR),Environmental Management Bureau,Regional Office - VI,"1,095,723.00","To cover payment of terminal leave benefits of Ms. Ninfa M. Adolfo, former DENR-EMB-RO VI employee.",
NCA-BMB-E-20-0001158,TLRG,01/22/20 15:58:22,01/27/2020 17:19:16,Department of Environment and Natural Resources (DENR),Office of the Secretary,Regional Office X - Proper,"323,256.00","To cover payment of terminal leave benefits of Mr. Leonardo R. Luceno, former DENR-OSEC-RO X employee.",
NCA-BMB-B-20-0001157,APB,01/22/20 15:32:36,01/27/2020 17:18:15,Department of Labor and Employment (DOLE),National Labor Relations Commission,Central Office,"2,504,533.00","To cover payment of Terminal Leave Benefits of Ms. Arlene Z. Solivio, former Labor Arbitration Associate of DOLE-National Labor Relations Commission.",
NCA-ROV-20-0001156,TR,01/22/20 15:22:47,01/22/2020 16:06:34,Department of Public Works and Highways (DPWH),Office of the Secretary,Camarines Sur 1st District Engineering Office,"7,451,343.00","To cover trust receipts deposited with the Bureau of Treasury pursuant to Executive Order No. 338 as implemented by COA-DBM-DOF Joint Circular No. 1-97 dated January 02, 1997,  for the completion of the Construction of Bridge, Brgy. Palaspas, Del Gallego, Camarines Sur, a PAMANA project under OPAPP.",
NCA-ROIVB-20-0001155,TLRG,01/22/20 15:14:08,01/24/2020 14:33:08,Department of Health (DOH),Office of the Secretary,Culion Sanitarium and General Hospital,"115,607.00",For payment of Terminal Leave Benefit (TLB) of Mr. Christian C. Camaing and Ms. Vanessa Zienith Q. Iturralde.,
NCA-ROII-20-0001154,TLRG,01/22/20 13:42:09,01/22/2020 16:04:18,Department of Public Works and Highways (DPWH),Office of the Secretary,Isabela 4th District Engineering Office,"864,572.00","To cover payment for the Terminal Leave Benefits of Engr. Fernando C. Salim, an optional retiree.",
NCA-ROVII-20-0001153,REG,01/22/20 13:28:51,01/24/2020 16:46:44,State Universities and Colleges (SUCs),Cebu Technological University,,"306,282.00","To cover payment for terminal leave benefits of Ms. Clemencia B. Burgos, former Associate Professor II per List of Actual Retirees to be Paid.",
NCA-BMB-D-20-0001152,APB,01/22/20 13:21:51,01/23/2020 19:13:08,Department of Justice (DOJ),National Bureau of Investigation,,"141,670.00",To cover the funding requirements for the payment of terminal leave benefits per attached Schedule A.,
NCA-ROVII-20-0001151,TLRG,01/22/20 12:59:59,01/24/2020 16:46:42,State Universities and Colleges (SUCs),Cebu Technological University,,"132,772.00","To cover payment for terminal leave benefits of Ms. Cecilia G. Sicadsicad, former Assistant Professor I per List of Actual Retirees to be Paid.",
NCA-BMB-B-20-0001150,SA,01/22/20 11:23:24,01/23/2020 19:10:01,Other Executive Offices (OEOs),Film Development Council of the Philippines,,"13,825,108.00","To cover the funding requirements for the share of movie producers of films graded A or B from amusement tax incentives per attached Schedule ""A"".",
NCA-BMB-E-20-0001149,APB,01/22/20 11:14:43,01/23/2020 19:16:13,Department of Science and Technology (DOST),Forest Products Research and Development Institute,,"91,325.00","To cover payment of Terminal Leave Benefits of Mr. Alejandro O. Castro who retired (compulsory) from government service effective December 11, 2019.",
NCA-BMB-E-20-0001148,TLRG,01/22/20 11:12:01,01/23/2020 19:16:12,Department of Agriculture (DA),Office of the Secretary,Regional Field Unit - VIII,"281,538.00","To cover payment of terminal leave benefits of Mr. Artemio T. Almoroto, former employee of DA-OSEC-RFO VIII - P281,537.50",
NCA-BMB-E-20-0001147,TLRG,01/22/20 11:12:00,01/23/2020 19:16:12,Department of Agriculture (DA),Office of the Secretary,Regional Field Unit - XI,"64,045.00","To cover payment of terminal leave benefits of Ms. Lilian S. Aquino, former employee of DA-OSEC-RFO XI - P64,044.87",
NCA-BMB-E-20-0001146,TLRG,01/22/20 11:11:59,01/23/2020 19:16:11,Department of Agriculture (DA),Office of the Secretary,Regional Field Unit - V,"899,448.00","To cover payment of terminal leave benefits of Mr. Manuel A. Timajo, former employee of DA-OSEC-RFO V - P899,447.94",
NCA-BMB-D-20-0001145,TR,01/22/20 11:08:43,01/23/2020 19:13:07,Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUS)",General Headquarters - Proper,"17,329,727.00",Utilization of trust receipts collections of the General Headquarters of the Armed Forces of the Philippines,
NCA-BMB-C-20-0001144,TR,01/22/20 10:57:53,01/23/2020 19:11:09,Department of Budget and Management (DBM),Government Procurement Policy Board-Technical Support Office,,"4,907,000.00",To cover the trust receipts representing transfer of funds for the conduct of consultation fora on Government Public Procurement.,
NCA-BMB-D-20-0001143,REG,01/22/20 10:28:56,01/23/2020 19:13:06,Department of Justice (DOJ),Office of the Secretary,Central Office,"202,456,924.00",To cover the funding requirements for the payment of pension differentials of retired prosecutors for the 1st quarter of FY 2020.,
NCA-BMB-D-20-0001142,REG,01/22/20 10:23:51,01/23/2020 19:13:06,Department of Justice (DOJ),Office of the Solicitor General,,"3,795,528.00",To cover the funding requirements for the payment of pension benefits for the 1st quarter of FY 2020.,
NCA-BMB-D-20-0001142,REG,01/22/20 10:23:51,01/23/2020 19:13:06,Department of Justice (DOJ),Office of the Government Corporate Counsel,,"2,698,213.00",To cover the funding requirements for the payment of pension benefits for the 1st quarter of FY 2020.,
NCA-BMB-D-20-0001142,REG,01/22/20 10:23:51,01/23/2020 19:13:06,Department of Justice (DOJ),Land Registration Authority,,"551,888.00",To cover the funding requirements for the payment of pension benefits for the 1st quarter of FY 2020.,
NCA-BMB-D-20-0001142,REG,01/22/20 10:23:51,01/23/2020 19:13:06,Department of Justice (DOJ),Office of the Secretary,Central Office,"1,172,312.00",To cover the funding requirements for the payment of pension benefits for the 1st quarter of FY 2020.,
NCA-BMB-D-20-0001141,REG,01/22/20 10:15:30,01/23/2020 19:11:34,Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUS)",General Headquarters - Proper,"56,427,709.00",To cover the funding requirements of validated and recalculated pension claims per attached Schedules A to E.,
NCA-BMB-D-20-0001140,REG,01/22/20 10:13:21,01/23/2020 19:13:05,Department of the Interior and Local Government (DILG),Philippine National Police,Regional Office - V,"880,430.00","To cover the funding requirement for the repair of one (1) MAN Truck of the Philippine National Police (PNP) Regional Office 5, pursuant to the approval by the Office of the President dated December 23, 2019.",
NCA-ROII-20-0001139,TLRG,01/22/20 09:55:40,01/22/2020 16:04:17,State Universities and Colleges (SUCs),Quirino State University,,"292,530.00","To cover payment for the Terminal Leave Benefits of Mr. Samuel O. Benigno, compulsory retiree.",
NCA-BMB-B-20-0001138,TLRG,01/22/20 09:49:57,01/23/2020 19:09:59,Department of Health (DOH),Office of the Secretary,Central Office,"188,988.00","To cover payment of terminal leave benefit of Mr. Elrey P. Inocian, former Rural Health Physician of DOH-Office of the Secretary (Central Office), as reflected in the attached Annex ""B"".",
NCA-OSEC-20-0001137,PY,01/22/20 08:46:58,01/23/2020 19:17:17,Department of Finance (DOF),Bureau of the Treasury,Central Office,"6,000,000.00","To cover the funding requirements for the implementation of priority programs/projects of beneficiary LGU per attached Schedule A, chargeable against the FY 2019 Local Government Support Fund-Other Financial Assistance (LGSF-FA), FY 2019 General Appropriations Act, Republic Act No. 11260.",
NCA-OSEC-20-0001136,PY,01/22/20 08:45:44,01/24/2020 17:40:12,Department of Finance (DOF),Bureau of the Treasury,Central Office,"15,554,357.00","To cover the cash requirements for the implementation of Development of Rizal Park in the City of Koronadal, South Cotabato per attached Schedule A, chargeable against the FY 2019 Local Government Support Fund – Assistance to Cities (LGSF - AC), FY 2019 General Appropriations Act, RA 11260.",
NCA-OSEC-20-0001135,PY,01/22/20 08:45:11,01/23/2020 19:17:17,Department of Finance (DOF),Bureau of the Treasury,Central Office,"96,672,401.00","To cover the cash requirements for the implementation of priority programs and projects of the various cities per attached Schedule A, chargeable against the FY 2019 Local Government Support Fund – Assistance to Cities (LGSF - AC), FY 2019 General Appropriations Act, RA 11260.",
NCA-ROVIII-20-0001134,APB,01/21/20 17:41:17,01/22/2020 22:13:21,Department of Public Works and Highways (DPWH),Office of the Secretary,Regional Office VIII - Proper,"108,244.00","To cover payment for Terminal Leave Benefits of Ms. Tessie D. Alvarez, who compulsorily retired from the service effective July 16, 2019",
NCA-ROVIII-20-0001133,TLRG,01/21/20 17:38:07,01/22/2020 22:13:20,Department of Health (DOH),Office of the Secretary,Schistosomiasis Hospital,"286,572.00","To cover payment for Terminal Leave Benefits of Mr. Manuel F. Reposar, Jr., who retired from the service effective December 31, 2019",
NCA-LGRCB-20-0001132,PY,01/21/20 17:04:47,01/23/2020 19:16:53,Department of Finance (DOF),Bureau of the Treasury,Central Office,"275,322.00",National Government Share in the payment of the Monetization of Leave Credits of personnel devolved to the Local Government Units per attached Schedule A.,
NCA-LGRCB-20-0001131,PY,01/21/20 17:00:16,01/23/2020 19:16:53,Department of Finance (DOF),Bureau of the Treasury,Central Office,"280,511.00",National Government Share in the payment of the Terminal Leave Benefits of personnel devolved to the Province of Aklan per attached Schedule A.,
NCA-LGRCB-20-0001130,PY,01/21/20 16:58:12,01/24/2020 17:40:32,Department of Finance (DOF),Bureau of the Treasury,Central Office,"271,450.00","National Government Share in the payment of the Monetization of Leave Credits of personnel devolved to the Municipality of Bauan, Province of Batangas per attached Schedule A.",
NCA-LGRCB-20-0001129,REG,01/21/20 16:56:04,01/23/2020 19:16:52,Department of Finance (DOF),Bureau of the Treasury,Central Office,"30,313.00","National Government Share in the payment of the Terminal Leave Benefits of Ms. Janice M. Caynap, devolved Department of Health personnel to the Province of Aklan.",
NCA-BMB-A-20-0001128,TLRG,01/21/20 16:55:55,01/28/2020 17:52:56,National Economic and Development Authority (NEDA),Philippine Statistics Authority,Regional Statistical Services Office - XIII,"128,655.00","To cover monetization of leave credits (MLC) of Mr. Ruel L. Dres, employee of PSA-RSSO XIII per Attachment 1",
NCA-BMB-E-20-0001127,TLRG,01/21/20 16:25:59,01/23/2020 19:16:10,Department of Environment and Natural Resources (DENR),Office of the Secretary,NCR - Proper,"446,912.00","To cover payment of terminal leave benefits of Mr. Rodrigo S. Gonzales, former DENR-OSEC-NCR employee.",
NCA-BMB-E-20-0001126,TLRG,01/21/20 16:25:58,01/23/2020 19:16:10,Department of Environment and Natural Resources (DENR),Office of the Secretary,Regional Office IVA - Proper,"251,887.00","To cover payment of terminal leave benefits of Mr. Herbert T. Nacino (P217,768.07) and Mr. Jose B. Espinas, Sr. (P34,118.11), former DENR-OSEC-RO IVA personnel.",
NCA-BMB-E-20-0001125,TLRG,01/21/20 16:25:56,01/23/2020 19:16:09,Department of Environment and Natural Resources (DENR),Office of the Secretary,Regional Office CAR - Proper,"2,819,948.00","To cover payment of terminal leave benefits of Ms. Juliet T. Alfiler (P382,600.59) and Mr. Elias F. Aya-ay, Jr. (P2,437,347.12), former DENR-OSEC-CAR personnel.",
NCA-BMB-C-20-0001124,APB,01/21/20 16:13:28,01/23/2020 19:11:08,Commission on Audit (COA),Commission on Audit (COA),Central Office,"4,808,912.00",To cover payment of Terminal Leave Benefits of two (2) compulsory (Mr. Jaime Cañedo and Ms. Patricia Vicente) and one (1) optional retiree/former personnel (Ms. Virginia Bonavente) per Attachment 1.,
NCA-BMB-D-20-0001123,REG,01/21/20 15:55:05,01/22/2020 16:35:17,Department of Justice (DOJ),Office of the Government Corporate Counsel,,"4,003,870.00",To cover payment of FY 2018 Performance-Based Bonus.,
NCA-BMB-A-20-0001122,TR,01/21/20 15:33:54,01/22/2020 16:30:15,Department of Trade and Industry (DTI),Office of the Secretary,Central Office,"500,000.00",To cover payment of trust receipts.,
NCA-BMB-A-20-0001121,TR,01/21/20 15:32:05,01/22/2020 16:30:15,National Economic and Development Authority (NEDA),Philippine Statistical Research and Training Institute (formerly Statistical Research and Training Center),,"23,895,083.00",To cover payment of trust receipts.,
NCA-BMB-C-20-0001120,TR,01/21/20 15:30:15,01/30/2020 15:39:23,Other Executive Offices (OEOs),Games and Amusements Board,,"10,000.00",To cover the trust receipts representing the financial assistance to former professional boxer  Mr. Juanito S. Ablaca.,
NCA-BMB-D-20-0001119,REG,01/21/20 15:20:48,01/22/2020 16:35:16,Department of National Defense (DND),Government Arsenal,,"5,756,276.00",To cover the funding requirements for the grant of FY 2018 Performance-Based Bonus.,
NCA-BMB-A-20-0001118,APB,01/21/20 15:18:51,01/28/2020 17:52:56,Department of Tourism (DOT),Office of the Secretary,Central Office,"347,881.00","To cover payment of the Terminal Leave Benefits of Ms. Sabrina H. Soliman, an optional retiree per Attachment 1.",
NCA-BMB-E-20-0001117,TLRG,01/21/20 15:05:35,01/23/2020 19:16:08,Department of Environment and Natural Resources (DENR),Office of the Secretary,Regional Office III - Proper,"604,577.00","To cover payment of terminal leave benefits of Mr. Glenn E. Eclevia (P492,055.65) and Ms. Rosalina S. Quilalang (P112,521.01), former DENR-OSEC-RO III personnel.",
NCA-BMB-A-20-0001116,TLRG,01/21/20 14:40:37,01/22/2020 16:30:14,Department of Trade and Industry (DTI),Board of Investments,,"992,518.00","To cover payment of terminal leave benefits of Ms. Yolanda B. Guevarra and Mr. Efraim C. Osingat, compulsory and optional retirees, respectively, per Annex B.",
NCA-ROII-20-0001115,TLRG,01/21/20 14:11:55,01/22/2020 16:04:16,Department of Education (DepEd),Office of the Secretary,Division of Nueva Vizcaya,"118,012.00","To cover payment of the Terminal Leave Benefits of Mesdames Amelia V. De Vera (P52,266.00) and Wilma M. Oliveros (P65,746.00).",
NCA-ROVI-20-0001114,PY,01/21/20 14:09:36,01/27/2020 09:00:27,State Universities and Colleges (SUCs),Capiz State University,,"40,000,000.00",Release of cash allocation to cover the requirements for the Construction of  School Buildings of Sapian Satellite College.,
NCA-ROIVA-20-0001113,TR,01/21/20 13:52:15,01/22/2020 11:07:56,Department of Public Works and Highways (DPWH),Office of the Secretary,Cavite 2nd District Engineering Office,"11,348,443.00",Trust Receipts,
NCA-BMB-D-20-0001112,TLRG,01/21/20 13:51:55,01/22/2020 16:35:15,The Judiciary (JUD),Supreme Court of the Philippines and the Lower Courts,,"4,268,304.00",To cover the funding requirements for the payment of Terminal Leave Benefits of actual retirees per Schedule A,.
NCA-BMB-D-20-0001111,TLRG,01/21/20 13:18:52,01/22/2020 16:35:14,Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUS)",Philippine Military Academy,"171,414.00","To cover the funding requirements for the Terminal Leave Benefits claim of a civilian employee per attached Schedule ""A"".",
NCA-CAR-20-0001110,TLRG,01/21/20 13:06:50,01/23/2020 09:03:02,State Universities and Colleges (SUCs),Ifugao State University,,"1,031,103.00","Release of cash to cover the monetization of leave credits of Dr. Eva Marie C. Dugyon (Php724,717.00) and Mr. Loinaz D. Dulawan (Php306,386.00) for critical health, medical and hospital needs.",
NCA-BMB-A-20-0001109,TLRG,01/21/20 13:04:41,01/22/2020 16:30:13,National Economic and Development Authority (NEDA),Office of the Director-General,Central Office,"17,662.00",To cover payment of terminal leave benefits of optional retiree per Annex B.,
NCA-BMB-A-20-0001109,TLRG,01/21/20 13:04:41,01/22/2020 16:30:13,National Economic and Development Authority (NEDA),Office of the Director-General,Region Office - VI,"1,823,599.00",To cover payment of terminal leave benefits of optional retiree per Annex B.,
NCA-BMB-D-20-0001108,REG,01/21/20 11:58:49,01/22/2020 16:35:14,Department of the Interior and Local Government (DILG),Office of the Secretary,Central Office,"1,850,000.00","To cover the funding requirements for the death benefit claims of 135 barangay officials who died during their term of office, as indicated in Schedules A to J.",
NCA-BMB-E-20-0001107,TR,01/21/20 11:56:48,01/22/2020 16:36:34,Department of Science and Technology (DOST),Office of the Secretary,Regional Office - XI,"190,556.00","To cover the implementation of projects as shown in Attachment I, chargeable against trust receipts.",
NCA-BMB-E-20-0001106,TR,01/21/20 11:56:05,01/22/2020 16:36:34,Department of Science and Technology (DOST),Philippine Institute of Volcanology and Seismology,,"22,184,799.00","To cover the implementation of various projects as shown in Attachment 1, chargeable against trust receipts",.
NCA-BMB-E-20-0001105,LP,01/21/20 11:54:48,01/29/2020 16:56:35,Department of Environment and Natural Resources (DENR),Office of the Secretary,Central Office,"38,622,546.79",Working Fund for the implementation of the Integrated Natural Resources and Environmental Management Project of the DENR-OSEC under IFAD Loan No. I-890-PH (INREMP),
NCA-BMB-E-20-0001104,LP,01/21/20 11:53:36,01/29/2020 16:56:35,Department of Environment and Natural Resources (DENR),Office of the Secretary,Central Office,"7,816,328.80",Working Fund for the implementation of the JICA-Assisted Forestland Management Project of teh Department of Environment and Natural Resources-Office of the Secretary under JICA Loan PH-P248,
NCA-BMB-E-20-0001103,TR,01/21/20 11:50:05,01/22/2020 16:36:33,Department of Science and Technology (DOST),Office of the Secretary,Regional Office - XI,"172,000.00","To cover the implementation of the 2019 Regional Invention Contest and Exhibits in Region XI, chargeable against trust receipts.",
NCA-BMB-E-20-0001102,REG,01/21/20 11:47:52,01/22/2020 16:36:32,Department of Environment and Natural Resources (DENR),National Mapping and Resource Information Authority,,"7,519,107.00",To cover the FY 2020 first quarter pension requirements of the DENR-NAMRIA retired military and uniformed personnel.,
NCA-BMB-D-20-0001101,TLRG,01/21/20 11:34:21,01/22/2020 16:35:13,Department of National Defense (DND),Philippine Army ( Land Forces ),,"1,336,057.00","To cover the funding requirements for the Terminal Leave Benefits differential of two (2) retirees (military personnel), per attached Schedules 1 and 2.",
NCA-ROII-20-0001100,TLRG,01/21/20 11:29:38,01/21/2020 15:21:14,Department of Health (DOH),Office of the Secretary,Cagayan Valley Centers for Health Development,"209,129.00",To cover the terminal leave benefits of nine (9) retirees per attached list.,
NCA-ROIII-20-0001099,TR,01/21/20 11:28:32,01/27/2020 13:58:59,Department of Public Works and Highways (DPWH),Office of the Secretary,Bulacan 2nd District Engineering Office,"700,606.00","Refund of cash bonds of two (2) contractors, which were deposited with the National Treasury.",
NCA-ROII-20-0001098,TLRG,01/21/20 11:21:52,01/21/2020 15:21:14,Department of Education (DepEd),Office of the Secretary,Division of Isabela,"618,827.00","To cover payment for the Terminal Leave Benefits of Ms. Josephine I. Garma - P31,605 and Ms. Corazon G. Dauigoy - P587,222, optional retirees.",
NCA-BMB-D-20-0001097,TR,01/21/20 11:20:36,01/22/2020 16:35:12,Department of Justice (DOJ),Office of the Secretary,Central Office,"860,000.00",To cover payment of awards to qualified individuals under the Victims Compensation Program.,
NCA-BMB-B-20-0001096,TR,01/21/20 11:18:33,01/22/2020 16:34:00,Other Executive Offices (OEOs),Commission on the Filipino Language,,"7,000,000.00",To cover the funding requirements for the implementation of the Bantayog-Wika Project.,
NCA-ROVIII-20-0001095,TLRG,01/21/20 11:15:49,01/22/2020 22:13:19,Department of Health (DOH),Office of the Secretary,Eastern Visayas Centers for Health Development,"1,124,825.00","To cover payment for Terminal Leave Benefits of Ms. Judecita A. Pineda, a mandatory retiree who retired from the service effective July 8, 2019",
NCA-BMB-D-20-0001094,TLRG,01/21/20 11:04:02,01/22/2020 16:35:12,The Judiciary (JUD),Supreme Court of the Philippines and the Lower Courts,,"3,728,006.00",To cover the funding requirements for the payment of Terminal Leave Benefits of actual retirees per Schedules A and B.,
NCA-BMB-D-20-0001093,TLRG,01/21/20 11:03:33,01/22/2020 16:35:11,Department of National Defense (DND),Philippine Army ( Land Forces ),,"1,299,361.00","To cover the funding requirements for the Terminal Leave Benefits of three (3) retirees (civilian personnel), per attached Schedules 1 and 2.",
NCA-BMB-E-20-0001092,TLRG,01/21/20 10:50:33,01/22/2020 16:36:32,Department of Agriculture (DA),Office of the Secretary,Central Office,"77,610.00","To cover payment of terminal leave benefits of Mr. Isaac T. Bangcaya, former seconded employee of DA-OSEC-CO P77,609.52",-
NCA-NCR-20-0001091,TLRG,01/21/20 10:44:10,01/21/2020 11:17:21,State Universities and Colleges (SUCs),Polytechnic University of the Philippines,,"1,293,073.00",To cover the payment for the terminal leave benefits of two (2) employees as per attached LARP Nos. 2020-01-039 and 2020-01-002.,
NCA-ROI-20-0001090,TR,01/21/20 09:43:19,01/22/2020 14:28:19,Department of Health (DOH),Office of the Secretary,Ilocos Centers for Health Development,"63,600.00",To cover refund of Performance Bond for specified project/s.,
NCA-ROII-20-0001089,TR,01/21/20 09:26:28,01/21/2020 15:21:13,Department of Health (DOH),Office of the Secretary,Veterans General Hospital,"83,773.86",To cover refund of Performance/Bidders' Bond.,
NCA-ROII-20-0001088,TLRG,01/21/20 07:35:29,01/21/2020 15:21:12,State Universities and Colleges (SUCs),Isabela State University,,"145,314.00","To cover payment of Terminal Leave Benefits of Mr. Narciso A. Oficial (P34,108) and Mr. Erlindo P. Bueno (P111,206).",
NCA-ROII-20-0001086,TLRG,01/20/20 15:21:54,01/21/2020 15:21:11,Department of Public Works and Highways (DPWH),Office of the Secretary,Regional Office II - Proper,"1,462,949.00","To cover payment of terminal leave benefits of Ms. Lucila T. Asuncion (P 717,071), Ms. Sylvia M. Tamayao (P 553,401) and Ms. Margarita M. Cusipag  (P 192,477).",
NCA-ROII-20-0001085,TLRG,01/20/20 14:57:17,01/21/2020 15:21:11,Department of Health (DOH),Office of the Secretary,Veterans General Hospital,"1,396,940.00","To cover the Terminal Leave Benefits of Ms. Concepcion R. Barroga, compulsory retiree.",
NCA-OSEC-20-0001084,PY,01/20/20 14:44:49,01/21/2020 15:45:48,Department of Finance (DOF),Bureau of the Treasury,Central Office,"42,497,332.00","To cover the cash requirements for the implementation of priority programs and projects of the various cities per attached Schedule A, chargeable against the FY 2019 Local Government Support Fund – Assistance to Cities (LGSF - AC), FY 2019 General Appropriations Act, RA 11260.",
NCA-OSEC-20-0001083,PY,01/20/20 14:44:24,01/21/2020 15:45:48,Department of Finance (DOF),Bureau of the Treasury,Central Office,"44,519,000.00","To cover the cash requirements for the implementation of priority programs and projects of the various cities per attached Schedule A, chargeable against the FY 2019 Local Government Support Fund – Assistance to Cities (LGSF - AC), FY 2019 General Appropriations Act, RA 11260.",
NCA-ROII-20-0001082,TR,01/20/20 14:42:48,01/21/2020 15:21:10,Department of Public Works and Highways (DPWH),Office of the Secretary,Regional Office II - Proper,"3,000,000.00",To cover payment for the Construction of unfinished portion of one (1) NCMB RB2 Building including amenities.,
NCA-ROII-20-0001081,TLRG,01/20/20 14:41:43,01/21/2020 15:21:09,Department of Health (DOH),Office of the Secretary,Southern Isabela General Hospital,"2,209,874.00","To cover payment of the Terminal Leave Benefits of Ms. Elvie M. Benigno, an optional retiree.",
NCA-BMB-C-20-0001080,TLRG,01/20/20 14:19:06,01/21/2020 15:50:33,Department of Budget and Management (DBM),Office of the Secretary,Regional Office VI,"313,536.00","To cover the terminal leave benefit claims of Ms. Lea S. Jalbuna (P313,535.31).",
NCA-BMB-E-20-0001079,LP,01/20/20 11:18:47,01/29/2020 16:56:34,Department of Agriculture (DA),Bureau of Fisheries and Aquatic Resources,Central Office,"36,163,753.77",-,
NCA-BMB-C-20-0001078,TR,01/20/20 10:59:18,01/21/2020 15:50:32,Presidential Communications Operations Office (PCOO),News and Information Bureau,,"3,348,000.00",To cover the balance of the trust receipts representing 1st tranche payment for the implementation of the Philippine Identification System Project.,
NCA-BMB-B-20-0001077,TR,01/20/20 10:58:19,01/21/2020 15:47:28,Department of Social Welfare and Development (DSWD),Council for the Welfare of Children,,"700,500.00",To cover the cash requirements for the UNICEF Assisted Project - Child Protection (Philippine Plan of Action to End Violence Against Children AdvoCom Plan).,
NCA-BMB-E-20-0001076,TLRG,01/20/20 10:57:39,01/21/2020 17:20:45,Department of Agriculture (DA),Office of the Secretary,Regional Field Unit - XII,"2,432,484.00","To cover payment of terminal leave benefits of Mr. Jessie A. Lumbao, former employee of DA-OSEC-RFO XII - P2,432,483.58",
NCA-ROI-20-0001075,REG,01/20/20 10:57:31,01/21/2020 08:37:44,State Universities and Colleges (SUCs),University of Northern Philippines,,"10,979,361.00","To cover payment of the FY 2018 Performance-Based Bonus of entitled employees pursuant to E.O. No. 80 dated July 20, 2012.",
NCA-ROI-20-0001074,TLRG,01/20/20 10:57:16,01/21/2020 08:37:21,State Universities and Colleges (SUCs),Pangasinan State University,,"561,442.00","To cover payment of Terminal Leave Benefits of Mr. Evaristo D. Ladao (P452,193.72) and Mr. Jose J. Aquino (P86,111.62), retired employees; and Mr. Reynaldo V. Cabading (P23,136.48), former employee.",
NCA-BMB-D-20-0001073,TLRG,01/20/20 10:45:24,01/21/2020 16:17:17,Office of the Ombudsman (OMB),Office of the Ombudsman,,"807,761.00",To cover the funding requirements for the payment of Terminal Leave Benefits of actual retirees per Schedule A,.
NCA-BMB-D-20-0001072,TR,01/20/20 10:44:55,01/21/2020 16:17:16,Department of National Defense (DND),Philippine Army ( Land Forces ),,"94,723,210.00",To cover the utilization of trust receipts.,
NCA-BMB-E-20-0001071,TR,01/20/20 10:43:31,01/21/2020 17:20:44,Department of Science and Technology (DOST),"Philippine Council for Industry, Energy and Emerging Technology Research and Development (PCIEERD)",,"4,538,670.00","To cover the implementation of projects chargeable against trust receipts, with details per Attachment I.",
NCA-BMB-E-20-0001070,TR,01/20/20 10:42:41,01/21/2020 17:20:43,Department of Science and Technology (DOST),"Philippine Atmospheric, Geophysical and Astronomical Services Administration",,"884,014.00","To cover the implementation of the project titled, ""A Dispersive Long-Wave Model for Predicting Coastal Flooding due to Storm Surges and Surface Waves in Manila Bay"" chargeable against trust receipts.",
NCA-BMB-D-20-0001069,TR,01/20/20 10:41:10,01/21/2020 15:55:47,Department of National Defense (DND),Philippine Army ( Land Forces ),,"27,740,930.00",To cover the utilization of trust receipts.,
NCA-BMB-D-20-0001068,PY,01/20/20 10:40:18,01/21/2020 16:17:16,Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUS)",General Headquarters - Proper,"29,085,977.00",To cover the funding requirements for the payment of nine (9) units Shoulder-Fired Directional Jammer for the Presidential Security Group under the Revised Armed Forces of the Philippines Modernization Program.,
NCA-BMB-D-20-0001067,TR,01/20/20 10:37:24,01/21/2020 16:17:15,Department of National Defense (DND),Office of the Secretary - Proper,,"202,455.00",To cover the refund of bidder/performance bond.,
NCA-BMB-D-20-0001066,TR,01/20/20 10:29:46,01/21/2020 16:17:14,Department of National Defense (DND),Government Arsenal,,"247,393.00",To cover the refund of bidder/performance bond.,
